,0,L8 code
0,DigitalInteractPhysical,DigitalInteractPhysical
1,CTDanger,CTDanger
2,SkillsLimitPI,SkillsLimitPI
3,BehInfoSharing,BehInfoSharing
4,CommSkillsCB,StrangerRisk
5,AnonyPI,AnonyPI
6,SkillsLimitPI,SkillsLimitPI
7,PurchaseOnlineSavvy,PurchaseOnline
8,HelpContRisk,HelpContRisk
9,VigilCS,VigilCS
10,CommSkillsCB,CommSkillsCB
11,InternetAct,InternetAct
12,DMBeh,InternetAct
13,BehCV,BehCV
14,NatureCB,NatureCB
15,CopeNegCB,CopeNegCB
16,DealCB,DealCB
17,CommSkillsCB,CommSkillsCB
18,RepContRisk,RepContRisk
19,NatureCB,NatureCB
20,BehCB,BehCB
21,NatureCB,NatureCB
22,DealCB,DealCB
23,NatureCB,NatureCB
24,CommSkillsCB,CommSkillsCB
25,HelpContRisk,TechnicalSkillsCB
26,DealCB,DealCB
27,CommSkillsCB,CommSkillsCB
28,RepContRisk,RepContRisk
29,SkillsUnder,SkillsUnder
30,SkillKindOnline,SkillsUnder
31,SkillsUnder,SkillsUnder
32,SkillsUnder,SkillKindOnline
33,SkillKindOnline,SkillKindOnline
34,SkillKindOnline,SkillKindOnline
35,CommSkillsCB,CommSkillsCB
36,HowTechInfEm,HowTechInfEm
37,AvoidRiskContact,StrangerRisk
38,SkillsLimitPI,SkillsLimitPI
39,IdentifyRiskContact,IdentifyRiskContact
40,KnowMyPISafe,KnowMyPISafe
41,VigilCS,VigilCS
42,CommSkillsCB,CommSkillsCB
43,CommSkillsCB,CommSkillsCB
44,CommSkillsCB,CommSkillsCB
45,CommSkillsCB,CommSkillsCB
46,CommSkillsCB,CommSkillsCB
47,BehCV,BehCV
48,BehCV,BehCV
49,CommSkillsCB,CommSkillsCB
50,LimitST,LimitST
51,CommSkillsCB,CommSkillsCB
52,NatureCB,NatureCB
53,EffectsCB,EffectsCB
54,OnlineCul,OnlineCul
55,OnlineCul,OnlineCul
56,SkillKindOnline,SkillKindOnline
57,SkillKindOnline,SkillKindOnline
58,AvoidRiskContent,AvoidRiskContent
59,CommSkillsCB,CommSkillsCB
60,CommSkillsCB,CommSkillsCB
61,NatureCB,NatureCB
62,DealCB,ProtectOthersCB
63,ProtectOthersCB,ProtectOthersCB
64,ProtectOthersCB,ProtectOthersCB
65,HelpContRisk,ProtectOthersCB
66,DealCB,ProtectOthersCB
67,CommSkillsCB,CommSkillsCB
68,DiagTechAddict,DiagTechAddict
69,DiagTechAddict,DiagTechAddict
70,DiagTechAddict,DiagTechAddict
71,DiagTechAddict,DiagTechAddict
72,DiagTechAddict,DiagTechAddict
73,CommSkillsCB,HelpContRisk
74,CommSkillsCB,CommSkillsCB
